show_id,language_type_id
1399,66
71446,121
66732,66
1402,66
63174,66
69050,66
93405,66
93405,1
93405,14
1396,66
1396,10
1396,121
71712,66
85271,66
60735,66
1418,66
84958,66
1416,66
82856,66
456,66
85552,66
75006,66
60574,66
76669,121
76479,66
60625,66
18165,66
88396,66
31910,50
48866,66
119051,66
1668,66
1622,66
81356,66
44217,66
70523,10
1408,66
77169,66
85937,50
1412,66
1429,50
87108,66
1413,66
46260,50
71912,66
12637,121
63247,66
82883,66
19885,66
62104,50
62715,50
62286,66
62286,121
2288,66
65930,50
37680,66
70785,66
42009,66
1100,66
60059,66
60059,10
60059,121
65334,138
105214,121
62560,66
12971,50
100088,66
37854,50
61889,66
62688,66
2004,66
1434,66
66788,66
2190,66
87739,66
87739,138
87739,5
87739,121
34524,66
4604,66
90462,66
95557,66
60797,66
91363,66
1405,66
4607,66
13916,50
246,66
2316,66
94997,66
4057,66
2734,66
5920,66
46331,66
43348,121
94605,66
99966,66
99966,1
79242,66
1403,66
63926,50
80213,66
71886,66
60708,66
16286,133
16286,121
46896,66
4613,10
4613,138
4613,71
4613,28
4613,66
104877,70
1911,66
88329,66
80020,50
48891,66
39351,66
615,66
2691,66
46952,66
86831,66
19614,66
78191,66
95479,50
12609,50
46648,66
74577,66
44953,121
79460,66
387,66
4087,66
67335,121
57243,66
60866,66
1409,66
67915,1
40075,66
63351,121
63351,66
75450,66
75450,10
15260,66
69478,66
31917,66
1425,66
56570,138
56570,45
56570,66
92749,66
1421,66
110492,66
62455,84
62455,121
62710,66
70881,50
1398,66
27240,66
60622,66
34307,66
102903,121
113988,66
115036,66
1424,66
84773,66
84773,70
67178,66
46296,66
58841,66
62127,66
95594,66
75219,66
80752,66
1705,66
62643,66
71728,66
16997,66
40008,66
67744,66
61222,66
61374,50
1981,66
38472,66
63639,66
1892,66
4614,66
95057,66
91239,66
1639,121
1639,66
1639,50
44006,66
1407,66
154521,66
69740,66
45871,121
72844,66
39272,66
52814,66
11250,121
1438,121
1438,66
1438,143
1438,80
90239,121
105,66
1433,66
96815,66
1395,66
35610,50
89641,66
89641,1
89641,84
33880,66
1437,66
96677,138
92783,66
71914,66
65494,66
31132,66
12697,50
1920,73
1920,66
1920,7
1920,81
31586,121
73586,66
4194,66
31911,50
93741,66
93741,84
93741,74
2038,66
90802,66
63401,66
47,121
71915,66
76121,50
77606,66
12926,121
1400,66
90260,66
110316,50
68421,66
61550,66
10545,66
45950,50
1419,66
47640,66
47640,121
693,66
62046,66
30984,50
16420,1
45782,50
62126,66
31356,66
100883,66
4556,66
67198,66
80743,66
97180,66
1606,66
60572,50
42035,121
85949,66
32798,66
31251,66
95,66
64432,66
114868,50
4686,66
63333,66
1411,66
97186,66
46298,50
71411,121
1415,66
1620,66
120089,50
71740,121
18347,66
46639,66
46786,66
112888,1
79744,66
68507,66
61056,66
89247,66
74428,121
62264,66
890,50
72305,50
61664,66
75758,66
117581,66
2098,66
86430,66
80240,121
30991,50
79699,121
92685,66
92685,63
92685,121
60573,66
92830,66
39340,66
58474,66
60743,66
4629,66
72637,121
92396,121
71789,66
76773,66
153312,66
